State,District,Latitude,Longitude,District code,Population,Male,Female,Male_Literate,Female_Literate,Literate,Workers,Non_Workers,Hindus,Muslims,Housholds_with_Electric_Lighting,Households_with_Internet,Primary_Education,Secondary_Education,Literate_Education,Illiterate_Education,Age_Group_0_29,Age_Group_30_49,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Households_with_Telephone_Mobile_Phone_Landline_only,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_separate_kitchen_Cooking_inside_house,Ownership_Owned_Households,Ownership_Rented_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Location_of_drinking_water_source_Within_the_premises_Households,Household_size_1_to_2_persons,Household_size_3_to_5_persons_Households,Married_couples_1_Households,Married_couples_3_or_more_Households,Power_Parity_Rs_45000_90000,sex_ratio,literacy_rate
West Bengal,Bankura,23.081280892857155,87.12640053571437,339,3596674,1838095,1758579,1299337,933655,2232992,1466220,2130454,3033581,290450,334670,4273,545200,261478,2241357,1417787,1942335,1014764,7898,72350,12915,6298,569436,736418,10490,570733,149249,87046,469864,516864,38270,1684,96.0,62.0
West Bengal,Barddhaman,23.444453888888884,87.8150581111111,335,7717563,3966889,3750674,2918040,2329168,5247208,2911251,4806312,6008472,1599764,1049943,32323,1437198,698251,5449930,2196886,4149420,2265543,46714,263368,46649,51392,1515718,1485095,136517,965484,603999,224103,1100028,1198350,62457,3561,95.0,68.0
West Bengal,Birbhum,24.06389342723,87.65153089201888,334,3502404,1790920,1711484,1201481,956966,2158447,1331603,2170801,2181515,1298054,333752,5210,661190,245201,2200345,1346802,2008655,952059,7305,54557,12843,6622,663318,764002,14309,633070,140634,121364,527618,607715,18110,1609,96.0,62.0
West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,331,1676276,857199,819077,596474,487211,1083685,702987,973289,1232850,412788,168069,2518,323965,135556,1155081,534394,937283,465982,6211,20163,5278,3105,371447,381199,7064,359461,149127,51947,270930,300973,6579,810,96.0,65.0
West Bengal,Darjiling,26.839619571045585,88.33145067024122,327,1846823,937259,909564,717673,597912,1315585,683726,1163097,1366681,105086,297176,10943,344865,176129,1343837,415353,1031221,523288,15192,39828,7465,14213,292986,305878,48498,56519,144712,45153,235480,266477,11288,837,97.0,71.0
West Bengal,Haora,22.401674174428507,87.99421176968654,341,4850029,2500819,2349210,1942824,1662382,3605206,1819845,3030184,3535844,1270641,796953,30751,1059842,446743,3733165,926661,2587164,1423304,22295,122818,33008,29557,910252,861570,140302,683400,255927,126429,659612,749571,35527,2195,94.0,74.0
West Bengal,Hugli,22.87929264705881,88.00010264705891,338,5519145,2814653,2704492,2211777,1866611,4078388,2152870,3366275,4574569,870204,965258,31725,1172797,515807,4297751,1180806,2766489,1688206,24013,167753,40997,30270,1126309,1121201,111963,803670,483054,181633,837497,869117,41423,2658,96.0,74.0
West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003,328,3872846,1983064,1889782,1396622,1102158,2498780,1512910,2359936,3156781,445817,382500,9322,765613,292056,2626587,1203423,2259507,1035449,16431,67075,13310,12288,772808,693346,77231,304467,478249,100989,554594,647052,13728,1859,95.0,65.0
West Bengal,Kolkata,22.550581481481483,88.3527648148148,342,4496694,2356766,2139928,1926915,1661222,3588137,1795740,2700954,3440290,926414,927602,136618,597841,555529,3436193,410988,2025389,1433314,85605,117173,58403,96030,942739,540172,385117,95578,698088,171174,590949,641384,25185,1472,91.0,80.0
West Bengal,Maldah,25.08026802575105,88.17191684549356,332,3988845,2051541,1937304,1152019,934413,2086432,1537847,2450998,1914352,2045151,297716,5357,629137,238078,2161924,1960034,2511004,955283,9639,41600,12266,6001,764919,810212,12496,622045,305711,102546,492634,645609,17689,1764,94.0,52.0
West Bengal,Murshidabad,24.25950655391121,88.16816860465121,333,7103807,3627564,3476243,2177187,1878647,4055834,2589907,4513900,2359061,4707573,541169,7951,1428661,443254,4346870,3031841,4390564,1717594,14050,74313,20640,9190,1456525,1481222,21489,1419053,656450,218355,963617,1204751,32750,3099,96.0,57.0
West Bengal,Nadia,23.56410971055088,88.58293034547152,336,5167600,2653768,2513832,1878866,1601689,3480555,1842607,3324993,3728482,1382682,623729,12787,1093403,412193,3635454,1570127,2745828,1484986,18658,76698,22088,11880,1103326,1162914,31984,1010328,837334,160521,856282,929744,28090,2429,95.0,67.0
West Bengal,Puruliya,23.254192328767108,86.3968532876713,340,2930115,1496996,1433119,1002058,622847,1624905,1249642,1680473,2373120,227249,189889,3551,480046,177459,1664428,1272799,1678057,764776,6602,49630,7054,5019,522871,546915,13996,315203,55184,61264,307951,377334,33073,1332,96.0,55.0
West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,330,3007134,1551066,1456068,853495,636172,1489667,1075626,1931508,1482943,1501170,199307,2883,488047,163106,1622095,1431264,1916033,704859,8150,31859,5984,3450,528452,573488,10356,546712,343480,61770,326958,471345,9659,1306,94.0,50.0
